0,freq,rel_freq
smith,64298764,0.020475835646475312
glass,64025067,0.020388677286962625
judge,63704000,0.020286434028857277
enemy,63490658,0.0202184956198314
japan,63378888,0.02018290264715456
piece,63366737,0.02017903318118877
reach,63077482,0.020086920402163637
meant,62748044,0.019982011412875703
visit,62724360,0.019974469282027726
enter,61810749,0.019683531361653208
worth,61649677,0.019632238248161182
roman,61532165,0.019594816745027954
cover,61094511,0.019455446548518072
forth,60949516,0.019409273129234916
avoid,60713817,0.019334215170328607
mouth,60506237,0.01926811166072622
exist,60331721,0.019212537327544944
steps,59851144,0.01905949837227862
views,59730863,0.019021195085649444
spent,59522444,0.018954824397876928
scene,59437019,0.018927620947121634
brain,59381487,0.01890993687305265
shape,59292802,0.018881695280658937
happy,59164298,0.018840773393203763
older,58790316,0.01872167944037537
trial,58746152,0.01870761548720994
plans,58326527,0.018573986596098564
sales,58217116,0.01853914484309198
usual,58076335,0.018494313365178244
prior,58065499,0.018490862658799734
apply,58019012,0.018476058950104842
horse,57895565,0.018436747455982644
speed,57878343,0.018431263138406904
index,57715744,0.018379483754276265
birth,57685653,0.0183699013248156
ought,57330059,0.018256663000345275
named,56790689,0.018084901510923186
error,56750399,0.018072071226686363
joint,56586193,0.018019780096048685
focus,56401617,0.017961002172412643
peter,56046161,0.01784780779381536
girls,55618263,0.017711544379460216
queen,55387905,0.0176381872532198
urban,55345225,0.017624595877413704
bound,55126998,0.01755510184817197
tests,55063047,0.01753473675739934
kinds,54492074,0.017352911344603306
greek,54270831,0.01728245687512185
coast,54258062,0.017278390608072458
plate,53932896,0.017174842030158555
check,53673380,0.017092199586773008
walls,53543364,0.017050796205404554
break,53238563,0.016953732828247237
ratio,53210388,0.01694476054583541
sides,52946344,0.016860676168296864
sight,52878422,0.01683904651910516
media,52684956,0.016777437589590112
broad,51818891,0.016501640614718795
agent,51554982,0.01641759922770822
aware,51535555,0.016411412731508944
youth,51315735,0.01634141141403715
pages,51124390,0.01628047791348378
sleep,50888533,0.016205369639737326
items,50843917,0.01619116174791528
fresh,50740037,0.016158081332762107
knows,50729807,0.016154823606086936
drive,50557448,0.016099936166008137
rural,49789702,0.015855448714985922
metal,49446105,0.015746030815434665
guide,49387650,0.01572741591682301
steel,49352821,0.015716324679054722
banks,48921307,0.015578909755446655
spoke,48762095,0.01552820895589557
grand,48540791,0.01545773506106444
apart,48518165,0.015450529848576419
prove,48293856,0.01537909901643748
fight,48287538,0.015377087059728414
fifty,47736764,0.015201693985261978
latin,47734483,0.015200967604563438
grant,47605038,0.015159746057205888
brief,46999908,0.014967043403936352
solid,46975719,0.014959340456668928
false,46927953,0.014944129452527549
funds,46652294,0.014856346297341677
italy,45481256,0.014483431172195926
forty,45401260,0.014457956577561798
build,45266402,0.014415011269256768
ideal,45221422,0.014400687462233379
lands,44906756,0.014300482592050589
signs,44832610,0.014276870920295226
rapid,44706695,0.01423677349563204
crime,44691757,0.014232016514099907
inner,44668216,0.014224519921366745
limit,44392003,0.014136560345792012
calls,44359360,0.014126165236128507
plane,43932667,0.013990285552041555
novel,43656017,0.013902186814535537
louis,43549326,0.013868211241055492
adult,43521833,0.013859456140422008
block,43360201,0.013807984695850989
store,43347796,0.013804034344002942
layer,43318510,0.013794708265468327
plain,43237703,0.013768975409218015
maybe,43187764,0.013753072416800472
watch,42950958,0.013677661935564795
count,42657594,0.013584240652247552
touch,42288164,0.013466596276332683
grace,42016481,0.013380079271807661
proof,41818941,0.013317172983692937
agree,41668821,0.01326936751658864
crown,41604115,0.013248761997307727
spain,41588379,0.01324375089398803
radio,41244924,0.01313437821410323
leads,41158061,0.013106716834612954
looks,41153467,0.013105253882868501
train,41055205,0.013073962510575654
input,41046336,0.013071138192112105
minor,41027981,0.013065293072549758
motor,40987965,0.0130525500431623
depth,40927274,0.013033223094028094
ships,40502437,0.01289793445008866
wants,40331501,0.012843500162019517
mixed,40257312,0.012819874796984874
cycle,40130390,0.012779456694827857
sites,39892154,0.012703590832444038
curve,39528834,0.012587892175980324
angle,39229069,0.012492432504740521
goals,39150325,0.012467356607447284
