,all,wordle,curated,mean
marti,2.3923205627835917e-06,,,2.3923205627835917e-06
marts,1.863911512161742e-05,1.8179922735935823e-05,,1.8409518928776624e-05
marty,6.50963016294272e-06,,,6.50963016294272e-06
martz,3.987200937972652e-07,,,3.987200937972652e-07
marvy,1.0644678253868596e-06,1.0381062399050246e-06,,1.0512870326459422e-06
marya,7.213256963357144e-07,,,7.213256963357144e-07
marye,1.2743601011782503e-06,,,1.2743601011782503e-06
marys,2.4031563521582204e-06,,,2.4031563521582204e-06
marzo,3.81644816691995e-07,,,3.81644816691995e-07
masai,1.3893380761467157e-06,,,1.3893380761467157e-06
masao,1.708642090138329e-06,,,1.708642090138329e-06
masas,1.0824649817837831e-05,9.67364996858589e-06,,1.024914989321186e-05
mased,4.250131374969802e-06,4.3581935747810514e-06,,4.304162474875427e-06
maser,4.704839753514606e-06,3.5638691079315284e-06,,4.134354430723067e-06
mases,2.060571335834158e-05,2.095957493193609e-05,,2.0782644145138838e-05
masha,7.51367436705923e-07,,,7.51367436705923e-07
mashy,8.742467324312728e-07,6.957535908100245e-07,,7.850001616206486e-07
masks,4.072032729205536e-06,4.5305828065164825e-06,,4.3013077678610095e-06
mason,1.6841494754727773e-06,8.418633240690808e-07,6.715984034242199e-07,1.0658704009886927e-06
massa,1.453599128232167e-06,7.984889526662678e-07,,1.1260440404492173e-06
masse,2.5680614756089677e-06,1.7872061558206758e-06,2.83762066677562e-06,2.3976294327350876e-06
massy,1.6913220164201735e-06,1.5276972462041387e-06,,1.609509631312156e-06
masts,8.676089835091192e-06,8.08839634244891e-06,,8.38224308877005e-06
masty,3.0300867674457193e-06,2.658666912967668e-06,,2.844376840206694e-06
masus,4.290299140151227e-06,3.6118562731870962e-06,,3.9510777066691615e-06
matai,1.518139504714087e-06,7.909082640623802e-07,,1.1545238843882337e-06
match,4.967824923892779e-07,3.999515154162216e-07,1.147317852926652e-06,6.813506202440505e-07
mated,4.644148498730908e-06,5.036861617382979e-06,,4.8405050580569435e-06
mateo,3.5540918096183034e-06,,,3.5540918096183034e-06
mater,5.141011547721769e-06,4.118843096596288e-06,,4.629927322159029e-06
mates,2.251600816906546e-05,2.422344870182483e-05,,2.3369728435445145e-05
matey,7.863618254947203e-06,7.96228063695657e-06,6.285703148048364e-06,7.3705340133173795e-06
matha,8.210244920247661e-07,,,8.210244920247661e-07
mathe,1.4504971333220737e-06,,,1.4504971333220737e-06
maths,2.73531115460014e-06,2.4462872560931822e-06,,2.590799205346661e-06
matic,3.901356214681298e-07,,,3.901356214681298e-07
matin,2.5463941760494696e-06,1.2266547431454314e-06,,1.8865244595974504e-06
matlo,1.2294028272264572e-06,7.88801595003076e-07,,1.0091022111147667e-06
matos,7.49788289244616e-06,,,7.49788289244616e-06
matra,2.2639694439484017e-06,,,2.2639694439484017e-06
matsu,1.4656266700569455e-07,,,1.4656266700569455e-07
matta,2.8456216726307975e-06,,,2.8456216726307975e-06
matte,5.027336113312474e-06,3.594634927363802e-06,,4.310985520338138e-06
matth,1.0801834706310455e-06,,,1.0801834706310455e-06
matti,1.2168074669163951e-06,,,1.2168074669163951e-06
matto,1.4964597093129698e-06,,,1.4964597093129698e-06
matts,9.480424492238088e-06,9.34794023817735e-06,,9.41418236520772e-06
matty,3.3109971599777696e-06,,,3.3109971599777696e-06
matza,3.691254528176742e-07,2.253425780289463e-07,,2.9723401542331025e-07
matzo,1.9411623587786166e-07,1.2890921007832368e-07,,1.6151272297809266e-07
mauby,8.746442471376861e-07,9.003108678462303e-07,,8.874775574919582e-07
mauch,4.866670117750166e-07,,,4.866670117750166e-07
maude,2.725769305638443e-06,,,2.725769305638443e-06
mauds,5.140187467660436e-06,5.308913135620791e-06,,5.2245503016406135e-06
mauer,5.036330317112051e-06,,,5.036330317112051e-06
maule,4.046063813057065e-06,,,4.046063813057065e-06
mauls,7.62996577230846e-06,8.690386470411103e-06,,8.160176121359782e-06
mauna,2.5268821224978886e-06,,,2.5268821224978886e-06
maund,1.736402118685721e-06,1.8468642521235916e-06,,1.7916331854046564e-06
maung,4.39787436173676e-07,,,4.39787436173676e-07
maura,2.2178705186191357e-06,,,2.2178705186191357e-06
mauri,9.483767408949043e-07,5.733183525012512e-07,,7.608475466980777e-07
mauro,1.1663370094163646e-06,,,1.1663370094163646e-06
maury,2.5805830265403447e-06,,,2.5805830265403447e-06
mauss,5.183995883577997e-06,,,5.183995883577997e-06
mausy,1.810488091742732e-06,1.9117712255500198e-06,,1.861129658646376e-06
mauts,9.287384174522833e-06,1.0121876848805668e-05,,9.70463051166425e-06
mauve,8.053409312113582e-07,6.761579727353323e-07,1.5743816418733152e-06,1.0186268486066686e-06
mauzy,4.207472325880997e-07,4.66827857401749e-07,,4.437875449949244e-07
maven,2.0755009715672373e-06,1.2637657558881723e-06,,1.6696333637277047e-06
mavie,2.066216686543691e-06,1.3724345888757754e-06,,1.719325637709733e-06
mavin,9.563380842176743e-07,4.779174323943238e-07,,7.171277583059991e-07
mavis,3.89641966239513e-06,3.56905131588063e-06,,3.73273548913788e-06
mavor,6.429565922579236e-07,,,6.429565922579236e-07
mawed,1.7389289061990166e-06,2.215892042712317e-06,,1.977410474455667e-06
mawks,1.6660603626292117e-06,2.303542102375172e-06,,1.9848012325021917e-06
mawky,5.81864359927473e-07,7.571774318317582e-07,,6.695208958796155e-07
mawns,3.2177011693659653e-06,3.6087299735022576e-06,,3.4132155714341116e-06
mawrs,2.8242095259309253e-06,3.2927371204925423e-06,,3.058473323211734e-06
maxed,8.983590421753227e-07,1.0875042128440524e-06,,9.929316275096876e-07
maxes,4.355472168450445e-06,5.2300627878939975e-06,,4.792767478172221e-06
maxey,1.521129775561054e-06,,,1.521129775561054e-06
maxie,1.0642260644547324e-06,,,1.0642260644547324e-06
maxim,1.3782970261515642e-07,9.094708623063684e-08,3.895740389093639e-08,8.924473091224322e-08
maxis,2.0068908502095397e-06,1.9778492708838494e-06,,1.9923700605466945e-06
mayan,1.0410469617048871e-06,5.176578961618859e-07,,7.793524289333865e-07
mayas,4.241550052230645e-06,3.865830100016499e-06,,4.053690076123572e-06
maybe,4.861294456805283e-07,3.3634394832207034e-07,1.4437017427454912e-07,3.222811894257159e-07
mayed,1.6653790430969434e-06,1.741642085231452e-06,,1.7035105641641978e-06
mayen,1.9817283373096814e-06,,,1.9817283373096814e-06
mayer,1.843552783515612e-06,,,1.843552783515612e-06
mayes,8.074179399992933e-06,,,8.074179399992933e-06
mayne,1.6341319267336709e-06,,,1.6341319267336709e-06
mayor,6.139073486318125e-07,4.272019032248174e-07,3.970179792550101e-07,4.7937574370388e-07
mayos,2.6887204489880464e-06,2.512429618074038e-06,,2.600575033531042e-06
mayst,4.0635514415448733e-07,3.411511224183981e-07,,3.737531332864427e-07
mazar,5.68244786749019e-07,,,5.68244786749019e-07
mazda,3.3137778207704325e-07,,,3.3137778207704325e-07
mazed,9.77162466927544e-07,1.161094723487635e-06,,1.0691285952075895e-06
mazel,7.328718501956579e-07,,,7.328718501956579e-07
mazer,1.081706049633766e-06,9.49473570968625e-07,,1.0155898103011953e-06
mazes,4.737531130595221e-06,5.583976811134945e-06,,5.160753970865083e-06
mazey,1.654562212013778e-06,1.8354607961815468e-06,,1.7450115040976625e-06
mazur,2.2522115366422998e-07,,,2.2522115366422998e-07
mazut,2.1122812340698492e-07,1.76746253345966e-07,,1.9398718837647546e-07
mbeki,2.6680394429884842e-08,,,2.6680394429884842e-08
mbira,1.2396731818839832e-07,7.852791608128721e-08,,1.0124761713484277e-07
mccay,1.7526193479626666e-07,,,1.7526193479626666e-07
mccoy,1.1109861777255467e-07,,,1.1109861777255467e-07
mcgee,4.964581846433545e-07,,,4.964581846433545e-07
mckay,1.0941942934648952e-07,,,1.0941942934648952e-07
mckee,3.162622509579889e-07,,,3.162622509579889e-07
mckie,1.4572560520805047e-07,,,1.4572560520805047e-07
mckim,1.8873167553484243e-08,,,1.8873167553484243e-08
mcnab,2.7187921872090785e-08,,,2.7187921872090785e-08
mcrae,8.393921215886377e-07,,,8.393921215886377e-07
mcvey,2.01023988310743e-07,,,2.01023988310743e-07
mdlle,2.1345366440755337e-07,,,2.1345366440755337e-07
meade,3.560503518047417e-06,,,3.560503518047417e-06
meads,6.714308332759481e-06,7.077308108739206e-06,,6.895808220749344e-06
meals,9.966551431439853e-06,1.1585147668445707e-05,,1.077584954994278e-05
mealy,3.4807748863236237e-06,3.808053844529526e-06,7.05015947007761e-06,4.779662733643587e-06
meane,5.831336017483908e-06,4.553153331800704e-06,,5.192244674642306e-06
means,1.099658736885182e-05,1.184059191016241e-05,,1.1418589639507115e-05
meant,2.3548197675699347e-06,2.174863647975763e-06,5.505217117066775e-06,3.344966844204157e-06
meany,3.840510472661377e-06,3.8920187152908775e-06,,3.866264593976127e-06
meare,5.118223807193162e-06,4.15446350959988e-06,,4.6363436583965204e-06
mears,9.651818228341755e-06,,,9.651818228341755e-06
mease,3.590848718485321e-06,2.9815064964583287e-06,,3.286177607471825e-06
meath,1.3822464294585354e-06,1.2613902409534123e-06,,1.3218183352059738e-06
meats,1.2131534373963153e-05,1.3493466415388126e-05,,1.2812500394675638e-05
meaty,4.23688579464464e-06,4.4353208202172684e-06,6.049210903338196e-06,4.907139172733368e-06
meaux,1.4183643049691278e-07,,,1.4183643049691278e-07
mebbe,5.353449559797954e-07,,,5.353449559797954e-07
mebos,2.9609252086972185e-06,2.842686419218368e-06,,2.9018058139577932e-06
mecca,5.752824151643793e-07,3.3650361703600787e-07,2.1215621359452278e-07,3.7464741526497e-07
mechs,1.2023804906462748e-06,1.1199087924491985e-06,,1.1611446415477366e-06
mecks,1.955915947999526e-06,2.397081372774242e-06,,2.176498660386884e-06
mecum,1.4152904243651988e-07,,,1.4152904243651988e-07
medal,8.510316330998407e-07,6.123909672910248e-07,7.427071981946709e-07,7.353765995285121e-07
medan,1.3502539739138666e-06,,,1.3502539739138666e-06
medea,3.1433512548477735e-06,,,3.1433512548477735e-06
medes,1.0472335275903197e-05,,,1.0472335275903197e-05
media,1.448376347814664e-06,7.16818370864727e-07,2.9535375130346523e-07,8.201828233276187e-07
medic,1.8145450118908393e-07,1.3387637220561815e-07,1.4306197328761596e-07,1.5279761556077265e-07
medii,6.193357226214243e-07,2.951605056501817e-07,,4.57248114135803e-07
medio,7.616742834344181e-07,,,7.616742834344181e-07
medle,1.9209640678290226e-06,1.4056803461090648e-06,,1.6633222069690437e-06
medoc,1.3113737657774315e-07,,,1.3113737657774315e-07
meech,4.767772177082801e-07,,,4.767772177082801e-07
meeds,5.035731249569609e-06,5.050312097012929e-06,,5.043021673291269e-06
meehl,4.0609899369470944e-07,,,4.0609899369470944e-07
meeks,4.270357323853775e-06,,,4.270357323853775e-06
meena,2.475532137358614e-06,,,2.475532137358614e-06
meers,7.238863671256314e-06,7.70949978291358e-06,,7.474181727084947e-06
meese,2.6931365388639904e-06,,,2.6931365388639904e-06
meete,4.824886869626754e-06,,,4.824886869626754e-06
meets,9.098650780472363e-06,9.628832830398322e-06,,9.363741805435342e-06
meffs,3.60362739117424e-07,5.042020978944644e-07,,4.322824185059442e-07
megan,1.2506640581706483e-06,,,1.2506640581706483e-06
mehdi,1.2195984301458538e-07,,,1.2195984301458538e-07
mehra,4.099963626079137e-07,,,4.099963626079137e-07
mehta,5.153313964795122e-07,,,5.153313964795122e-07
meier,5.782974504054044e-06,,,5.782974504054044e-06
meigs,4.619499977687322e-06,,,4.619499977687322e-06
meiji,5.380311957178784e-08,,,5.380311957178784e-08
meine,5.126049741055056e-06,,,5.126049741055056e-06
meins,9.666576178354779e-06,1.006833503040509e-05,,9.867455604379934e-06
meint,2.070009895432424e-06,1.8493379401476755e-06,,1.95967391779005e-06
meiny,3.3760098294591896e-06,3.3094754609795404e-06,,3.3427426452193652e-06
meist,1.2746808549497146e-06,,,1.2746808549497146e-06
meith,1.2150669984641736e-06,1.0725899217168578e-06,,1.1438284600905157e-06
mejia,1.962636903556749e-07,,,1.962636903556749e-07
mejor,1.0789628997377485e-07,,,1.0789628997377485e-07
mekka,3.665273676066151e-07,2.8575822327572405e-07,,3.2614279544116955e-07
melas,1.165381560768735e-05,1.1072070913381378e-05,,1.1362943260534365e-05
melba,7.560224842964832e-07,4.3039178547164663e-07,,5.932071348840649e-07
melds,5.169682538003715e-06,4.855628864248258e-06,,5.0126557011259864e-06
melee,1.1763920448440544e-05,9.22486083426663e-06,5.881053986713959e-06,8.95661175647371e-06
melia,3.0681728808766897e-06,,,3.0681728808766897e-06
melic,3.843847495171847e-07,2.9109529135990813e-07,,3.377400204385464e-07
melik,7.986916651644496e-07,5.93651027261545e-07,,6.961713462129973e-07
mello,1.2112805696153644e-06,,,1.2112805696153644e-06
mells,7.673747517349263e-06,7.948386102622944e-06,,7.811066809986104e-06
melon,1.8131549540383618e-06,9.635629213107053e-07,7.484787469740977e-07,1.1750655407743881e-06
melos,7.387358854022354e-06,,,7.387358854022354e-06
melts,9.340676403893075e-06,9.257653333534896e-06,,9.299164868713984e-06
melty,3.2621907458766398e-06,3.0430032811846636e-06,,3.152597013530652e-06
melun,1.1336724315011228e-06,,,1.1336724315011228e-06
memel,1.9756979432111618e-06,,,1.9756979432111618e-06
memes,1.2771578698399956e-05,1.4455929063992232e-05,,1.3613753881196093e-05
memmi,2.740181432318905e-07,,,2.740181432318905e-07
memos,4.252965299765095e-06,4.336157493195779e-06,,4.294561396480437e-06
menad,2.804657709083752e-06,2.6171829697350506e-06,,2.7109203394094015e-06
menai,1.7452564346918546e-06,,,1.7452564346918546e-06
mende,3.198681776500204e-06,,,3.198681776500204e-06
mends,6.0319939572982615e-06,5.519842246621839e-06,,5.77591810196005e-06
mened,5.3389230870460085e-06,5.67056310109261e-06,,5.504743094069309e-06
menem,1.7776981894640096e-06,,,1.7776981894640096e-06
menes,2.5884451342326775e-05,2.7271067744987307e-05,,2.657775954365704e-05
menge,2.5035137199596766e-06,1.9062725268335678e-06,,2.2048931233966223e-06
mengs,4.721063452374065e-06,4.957310552698595e-06,,4.8391870025363305e-06
menlo,1.413324130215174e-06,,,1.413324130215174e-06
menno,1.5593901647254504e-06,,,1.5593901647254504e-06
menon,2.1155921366552867e-06,,,2.1155921366552867e-06
menor,1.968082960154551e-06,,,1.968082960154551e-06
menos,8.619582274207457e-06,,,8.619582274207457e-06
mensa,1.8259797781154024e-06,1.0389354933246385e-06,,1.4324576357200204e-06
mense,3.2259432689135582e-06,2.325382089470735e-06,,2.7756626791921467e-06
mensh,6.931326089470321e-07,5.653031360737004e-07,,6.292178725103662e-07
menta,3.271332785581397e-06,1.8080699089254369e-06,,2.539701347253417e-06
mente,5.77943639163105e-06,,,5.77943639163105e-06
mento,1.720333295343255e-06,1.034322344958816e-06,,1.3773278201510355e-06
ments,1.0898716354663905e-05,,,1.0898716354663905e-05
mentz,2.331407461592143e-07,,,2.331407461592143e-07
menus,5.389380964688361e-06,4.699483526317108e-06,,5.044432245502735e-06
meous,4.603974994817052e-06,4.840858030739511e-06,,4.7224165127782815e-06
meows,1.0393711435040087e-06,1.545211540984183e-06,,1.2922913422440959e-06
merce,3.2058266460131178e-06,,,3.2058266460131178e-06
merch,6.888103112028185e-07,5.595685522485777e-07,,6.241894317256981e-07
merci,7.75932564003175e-07,,,7.75932564003175e-07
merck,4.723659644019328e-07,,,4.723659644019328e-07
mercs,6.045467573224737e-06,5.985871161621271e-06,,6.015669367423004e-06
mercy,2.1113533452086393e-06,1.9675640175010795e-06,3.512179817240577e-06,2.5303657266500986e-06
merde,3.857952066313222e-06,2.6378209476032084e-06,,3.247886506958215e-06
mered,6.439311814910453e-06,7.04702758828729e-06,,6.743169701598871e-06
merel,4.8294838611828396e-06,4.07580210452582e-06,,4.45264298285433e-06
merer,7.128233821309169e-06,5.76263616879386e-06,,6.445434995051515e-06
meres,3.121941459608878e-05,3.3890808255699995e-05,,3.2555111425894386e-05
merge,3.0195050973559455e-06,2.368998430650015e-06,2.045555278173083e-06,2.478019602059681e-06
meril,2.225303387873721e-06,1.5413432969414361e-06,,1.8833233424075787e-06
meris,1.4385112584493733e-05,1.2816463801038246e-05,,1.360078819276599e-05
merit,3.0804418076679896e-06,2.35411045562274e-06,2.5375194479174165e-06,2.657357237069382e-06
merks,6.169477164470373e-06,7.325774195366179e-06,,6.747625679918276e-06
merle,5.72664759843369e-06,4.317961678560666e-06,,5.022304638497178e-06
merls,1.0799168570974104e-05,1.1228969989318735e-05,,1.1014069280146419e-05
meroe,5.512925822032815e-06,,,5.512925822032815e-06
merry,3.652460829660074e-06,3.442040215531086e-06,3.512179817240577e-06,3.5355602874772456e-06
merse,3.890832339605665e-06,2.889842057246827e-06,,3.3903371984262456e-06
mertz,2.811926556729455e-07,,,2.811926556729455e-07
merwe,7.78166467921133e-07,,,7.78166467921133e-07
meryl,2.6217654857132924e-07,,,2.6217654857132924e-07
mesal,1.1809341186582696e-06,8.369343219644003e-07,,1.008934220311335e-06
mesas,7.633956944630824e-06,6.959214383056926e-06,,7.296585663843875e-06
mesel,2.2480163657634734e-06,1.8133576975895341e-06,,2.030687031676504e-06
meses,1.4531936943749035e-05,1.5078297829956674e-05,,1.4805117386852854e-05
meshy,6.165522235524484e-07,5.005244568443304e-07,,5.585383401983894e-07
mesic,2.5179535413716793e-07,1.829643753476781e-07,,2.1737986474242302e-07
mesme,1.288173307658306e-06,,,1.288173307658306e-06
mesne,2.941116482633716e-06,1.9634552798137335e-06,,2.452285881223725e-06
meson,1.1877266055198662e-06,6.056356569087333e-07,,8.966811312142997e-07
messe,1.8110951454205887e-06,,,1.8110951454205887e-06
messy,1.1927849556464259e-06,1.0990239137518061e-06,,1.1459044346991161e-06
mesta,1.8365775319468078e-06,,,1.8365775319468078e-06
mesto,9.658220929442702e-07,5.718815455010881e-07,,7.688518192226792e-07
metab,1.7280667095294337e-07,,,1.7280667095294337e-07
metal,1.2904150320073055e-06,9.672636816699263e-07,1.099206653328113e-06,1.1189617890017815e-06
meted,3.2752310957312082e-06,3.6235133509056515e-06,,3.44937222331843e-06
meter,3.625637916016862e-06,2.96309171951337e-06,2.9142722880591496e-06,3.167667307863127e-06
metes,1.5879149886618228e-05,1.7426325447004336e-05,,1.6652737666811284e-05
metho,3.0449476600675935e-07,1.729621642564831e-07,,2.3872846513162125e-07
meths,1.92904601403141e-06,1.7598566738487407e-06,,1.8444513439400754e-06
metic,2.751385575491427e-07,2.1145601353502763e-07,,2.4329728554208516e-07
metif,1.828765262751787e-07,1.3653065440844303e-07,,1.5970359034181086e-07
metis,7.3167085872798975e-06,6.590101587178262e-06,,6.95340508722908e-06
metol,8.179946579706046e-07,6.286313312901383e-07,,7.233129946303715e-07
metre,2.82076673663264e-06,2.07050932193651e-06,,2.445638029284575e-06
metro,8.396422430486115e-07,5.29190621703878e-07,3.810998055584648e-07,5.833108901036514e-07
mette,3.545469653158812e-06,,,3.545469653158812e-06
meuse,1.9387001185837204e-06,1.6089521303703115e-06,,1.773826124477016e-06
meved,1.2300641671750694e-06,1.411758448404799e-06,,1.3209113077899342e-06
meves,5.963662627100965e-06,6.789477446884806e-06,,6.3765700369928855e-06
mewar,7.131589882773487e-07,,,7.131589882773487e-07
mewed,1.2263591546233371e-06,1.5941105813237524e-06,,1.4102348679735448e-06
mewls,2.0566886058644587e-06,2.540109237984455e-06,,2.298398921924457e-06
meyer,1.3001439133227888e-06,,,1.3001439133227888e-06
meynt,4.653852034411904e-07,3.7479446360747363e-07,,4.20089833524332e-07
mezes,3.3410880983155997e-06,4.017107489406845e-06,,3.6790977938612224e-06
mezze,9.676789291763064e-08,8.364239832579529e-08,,9.020514562171297e-08
mezzo,2.8804370673146103e-08,2.1377722042532438e-08,,2.509104635783927e-08
mhorr,5.088796904874644e-07,4.949762720445006e-07,,5.019279812659825e-07
miall,1.2208680654659928e-06,,,1.2208680654659928e-06
miami,4.89510419261871e-07,,,4.89510419261871e-07
miaou,2.1042570873241407e-07,1.5082363752990086e-07,,1.8062467313115746e-07
miaow,1.351514714622822e-07,1.4407034032706947e-07,,1.3961090589467584e-07
miasm,3.6825944516643445e-07,3.0287280177282747e-07,,3.3556612346963096e-07
miaul,7.348574288785738e-07,6.155885180934301e-07,,6.75222973486002e-07
micah,4.691053488802201e-07,,,4.691053488802201e-07
micas,4.117187459243196e-06,4.3479731444248985e-06,,4.2325803018340474e-06
miche,5.048936597713899e-07,3.6583840628424656e-07,,4.353660330278183e-07
michi,1.2220356096377592e-07,,,1.2220356096377592e-07
micht,2.0388699381851034e-07,1.7474672888873012e-07,,1.8931686135362021e-07
micks,1.5488096491292933e-06,2.0363412398935982e-06,,1.7925754445114458e-06
micky,5.409150564736622e-07,6.693481437851366e-07,,6.051316001293993e-07
micos,2.6098869464389766e-06,2.825777704663482e-06,,2.7178323255512294e-06
micra,7.880496913135897e-07,5.000858713352918e-07,,6.440677813244407e-07
micro,4.1442073039071743e-07,2.8607853521974783e-07,1.6048697045928649e-07,2.869954120232506e-07
midas,4.3562981646801884e-06,,,4.3562981646801884e-06
middy,6.749076552107122e-07,6.23567576844503e-07,,6.492376160276076e-07
midge,8.020517810537339e-07,6.551493908457681e-07,7.856351078518027e-07,7.476120932504349e-07
midgy,5.28230281279975e-07,5.60019288758439e-07,,5.44124785019207e-07
midis,3.8210252332922635e-06,3.5444086173341724e-06,,3.682716925313218e-06
midst,4.1734840963566854e-07,3.817415514716462e-07,1.054770719680752e-06,6.179535602626889e-07
miens,6.5308100183665695e-06,7.177799241215406e-06,,6.854304629790988e-06
miers,5.732159356970484e-06,,,5.732159356970484e-06
mieux,8.423584064656139e-08,,,8.423584064656139e-08
mieve,6.247571229057707e-07,5.464224706628534e-07,,5.855897967843121e-07
miffs,2.8535647868845117e-07,4.283240180516243e-07,,3.5684024837003774e-07
miffy,9.965951327308888e-08,1.407906891069134e-07,,1.2022510119000114e-07
mifty,4.643476222834032e-07,5.426181923519666e-07,,5.034829073176849e-07
miggs,1.4009333509712201e-06,1.5901505933221949e-06,,1.4955419721467075e-06
might,1.9981665455897563e-07,1.6226481968239228e-07,1.5428848889833062e-07,1.7212332104656618e-07
migne,1.5545522406467447e-06,,,1.5545522406467447e-06
mihas,1.696191566693658e-06,1.3310121870688467e-06,,1.5136018768812525e-06
mihis,1.487774833546044e-06,1.090587266872053e-06,,1.2891810502090485e-06
miked,1.0092435533700288e-06,1.3592077346619672e-06,,1.184225644015998e-06
mikes,4.893068363009059e-06,6.536748740938113e-06,,5.714908551973586e-06
mikey,1.7088829162411733e-06,,,1.7088829162411733e-06
mikra,4.919947256113882e-07,3.469983597020392e-07,,4.194965426567137e-07
mikva,1.0112144558020625e-07,7.528754396873174e-08,,8.820449477446899e-08
milam,6.337749449059809e-07,,,6.337749449059809e-07
milan,2.264966196549243e-06,,,2.264966196549243e-06
milch,3.8758296702019353e-07,3.364806644265299e-07,,3.620318157233617e-07
milds,4.093659651369287e-06,4.12489847620107e-06,,4.109279063785178e-06
miler,4.010947526688818e-06,3.4651976761959627e-06,,3.7380726014423904e-06
miles,1.756668438464008e-05,2.0379275486454116e-05,,1.8972979935547096e-05
miley,6.135088376621654e-06,,,6.135088376621654e-06
milfs,1.5874560863974647e-06,2.0405548725156035e-06,,1.8140054794565342e-06
milia,2.429560313140711e-06,1.324061482165026e-06,,1.8768108976528684e-06
milko,5.479622612379648e-07,4.3294642050598954e-07,,4.904543408719772e-07
milks,3.47146990322083e-06,4.405146355688192e-06,,3.938308129454511e-06
milky,1.2123958162340705e-06,1.4479776171678467e-06,7.288904602075579e-07,1.1297546312031583e-06
mille,3.2222965178964256e-06,2.5964836814577803e-06,,2.909390099677103e-06
milli,7.799189024207909e-07,,,7.799189024207909e-07
mills,6.076526045001285e-06,6.752222346392835e-06,,6.41437419569706e-06
milly,2.1222003818502574e-06,,,2.1222003818502574e-06
milne,3.5553185503680174e-06,,,3.5553185503680174e-06
milor,1.3356548202081929e-06,1.0394103901954371e-06,,1.187532605201815e-06
milos,5.8497466040873614e-06,6.1129068713128385e-06,,5.9813267377001e-06
milpa,8.517424086297895e-07,6.289292040283873e-07,,7.403358063290884e-07
milts,7.396498688269507e-06,7.864456118107349e-06,,7.630477403188428e-06
milty,2.5831951059459592e-06,2.585057455699257e-06,,2.584126280822608e-06
miltz,1.5822278211790207e-07,6.358327331466274e-08,,1.109030277162824e-07
mimed,2.0859656001339834e-06,2.5535115897509754e-06,,2.319738594942479e-06
mimeo,1.5963557704082122e-06,1.2069453322152242e-06,,1.4016505513117182e-06
mimer,2.3091365922880562e-06,2.0881085053492183e-06,,2.1986225488186375e-06
mimes,1.0113289552614652e-05,1.2280436053747705e-05,,1.1196862803181178e-05
mimic,1.7523330401510618e-07,1.4901432090743562e-07,9.712449778787897e-08,1.404573742368069e-07
mimsy,8.30101291875194e-07,8.950939321250541e-07,,8.62597612000124e-07
minae,5.7098297820678725e-06,4.111655147728037e-06,,4.910742464897955e-06
minar,2.45849995711967e-06,1.8180971842450517e-06,,2.138298570682361e-06
minas,1.076745395420952e-05,1.0692464569453069e-05,,1.0729959261831294e-05
mince,2.1047576701384405e-06,1.5734546235719021e-06,2.912087466437348e-06,2.196766586715897e-06
mincy,1.3861907203332149e-06,1.3449832229087022e-06,,1.3655869716209585e-06
minde,2.532904956884551e-06,,,2.532904956884551e-06
minds,4.776488710626027e-06,4.689153456436122e-06,,4.732821083531075e-06
mindy,1.6681679779736472e-06,,,1.6681679779736472e-06
mined,4.227674303506429e-06,4.817192118434325e-06,,4.522433210970377e-06
miner,4.679980069602095e-06,3.939210565864278e-06,3.0461967576548583e-06,3.8884624643737435e-06
mines,2.0496835788069922e-05,2.316700656714831e-05,,2.1831921177609115e-05
minge,1.9824298739252667e-06,1.6193949045521038e-06,,1.8009123892386853e-06
mingo,5.900990834911303e-07,,,5.900990834911303e-07
mings,3.738416590276904e-06,4.2112779449521864e-06,,3.974847267614545e-06
mingy,1.305625789578806e-06,1.3842528060593212e-06,,1.3449392978190637e-06
minim,6.486260666949582e-07,4.028578297081185e-07,2.998481322504693e-07,4.50444009551182e-07
minis,9.444420859646915e-06,8.761051043872159e-06,,9.102735951759538e-06
minke,2.147932186448973e-06,1.9256634444201144e-06,,2.036797815434544e-06
minks,4.0505167048916725e-06,5.007737130758747e-06,,4.52912691782521e-06
minna,2.3480902218314234e-06,,,2.3480902218314234e-06
minne,4.148351442170295e-06,,,4.148351442170295e-06
minny,2.732098975289226e-06,2.5787026268906505e-06,,2.6554008010899382e-06
minor,1.5584442072226768e-06,1.1815938869674545e-06,1.264459031479375e-06,1.334832375223169e-06
minos,6.825493810922986e-06,6.949106396162236e-06,,6.887300103542611e-06
minot,1.4616177919810312e-06,,,1.4616177919810312e-06
minow,1.2141725085857146e-07,,,1.2141725085857146e-07
minsk,3.763943943179688e-07,,,3.763943943179688e-07
minto,1.3622614050829723e-06,,,1.3622614050829723e-06
mints,8.630246647608388e-06,8.940254360678637e-06,,8.785250504143512e-06
minty,3.014076232929658e-06,2.9386738057713252e-06,2.2861838606607515e-06,2.746311299787245e-06
mintz,1.8461459840639425e-07,,,1.8461459840639425e-07
minus,4.267629828101947e-06,3.9922516688553825e-06,1.333863300788706e-07,2.7977559423454003e-06
mired,5.099027022549738e-06,5.986510537224401e-06,,5.54276877988707e-06
mires,2.4721374461946927e-05,2.8790533057514193e-05,,2.675595375973056e-05
mirex,5.844954556416184e-07,5.091807261308724e-07,,5.468380908862454e-07
mirid,2.349502024293027e-06,2.2639145993800914e-06,,2.306708311836559e-06
mirin,2.7958048105670295e-06,1.457927992310387e-06,,2.1268664014387083e-06
mirks,4.885356025747208e-06,6.223308177021762e-06,,5.554332101384485e-06
mirky,1.706189415882441e-06,2.0456098884045758e-06,,1.8758996521435083e-06
