,w1,w2,w3,w4,w5,tglp5,nu5,tglp4,nu4,tglp3,nu3,tglp2,nu2,mean_tglp2,mean_tglp_per_unique2,mean_tglp3,mean_tglp_per_unique3,mean_tglp4,mean_tglp_per_unique4,mean_tglp5,mean_tglp_per_unique5
24,share,bliny,compt,fuzed,gawks,2.0410367170626347,22,1.8095032397408206,19,1.4773218142548596,15,1.1140388768898488,10,0.5570194384449244,0.11140388768898488,0.4924406047516199,0.09848812095032397,0.45237580993520515,0.09523701261793793,0.40820734341252696,0.09277439623011975
25,sooty,crane,build,whump,gaffs,2.032829373650108,20,1.8103671706263498,18,1.5874730021598271,14,1.1965442764578833,9,0.5982721382289417,0.13294936405087593,0.5291576673866091,0.11339092872570193,0.45259179265658744,0.1005759539236861,0.40656587473002165,0.10164146868250541
26,sonne,clary,whipt,fumed,biggs,2.0652267818574517,20,1.8259179265658747,18,1.4721382289416847,14,1.12829373650108,9,0.56414686825054,0.1253659707223422,0.49071274298056156,0.10515273063869177,0.4564794816414687,0.10143988480921526,0.4130453563714903,0.10326133909287258
27,souce,briny,dwalm,pight,jeffs,1.8807775377969767,21,1.7261339092872574,19,1.4272138228941686,15,1.139524838012959,10,0.5697624190064795,0.1139524838012959,0.4757379409647229,0.09514758819294458,0.43153347732181435,0.09084915312038197,0.3761555075593953,0.08956083513318937
28,shine,coaly,trump,faded,bewig,2.1546436285097195,20,1.878185745140389,17,1.4673866090712744,15,1.1628509719222464,10,0.5814254859611232,0.11628509719222464,0.4891288696904248,0.09782577393808496,0.46954643628509724,0.11048151442002288,0.4309287257019439,0.10773218142548598
29,suite,coaly,brond,whump,gaffs,2.032829373650108,20,1.81036717062635,18,1.5874730021598273,14,1.1624190064794817,10,0.5812095032397409,0.11624190064794818,0.5291576673866091,0.11339092872570196,0.4525917926565875,0.10057595392368611,0.40656587473002165,0.10164146868250541
30,sonse,clary,whipt,fumed,biggs,2.060475161987041,20,1.8211663066954642,18,1.4673866090712742,14,1.1235421166306694,9,0.5617710583153347,0.12483801295896327,0.48912886969042474,0.10481332921937672,0.45529157667386605,0.10117590592752579,0.4120950323974082,0.10302375809935205
31,crane,soily,bumph,fated,wigga,2.1179265658747304,20,1.9053995680345572,18,1.479049676025918,15,1.2159827213822896,10,0.6079913606911448,0.12159827213822896,0.49301655867530597,0.09860331173506119,0.4763498920086393,0.1058555315574754,0.4235853131749461,0.10589632829373652
32,slaty,crine,bough,faded,kempt,2.2129589632829374,20,1.9425485961123112,17,1.5317494600431967,15,1.1723542116630672,10,0.5861771058315336,0.11723542116630672,0.5105831533477322,0.10211663066954645,0.4856371490280778,0.11426756447719477,0.4425917926565875,0.11064794816414687
33,seity,crank,bough,fjeld,maxim,1.9412526997840174,21,1.6721382289416848,19,1.4151187904967604,15,1.0557235421166307,10,0.5278617710583153,0.10557235421166307,0.47170626349892014,0.09434125269978402,0.4180345572354212,0.0880072752074571,0.3882505399568035,0.09244060475161987
34,salse,crony,whipt,fumed,bobak,2.17365010799136,20,1.834557235421166,18,1.480777537796976,14,1.1369330453563713,9,0.5684665226781856,0.1263258939284857,0.493592512598992,0.10576982412835544,0.4586393088552915,0.101919846412287,0.434730021598272,0.108682505399568
